epoch,accuracy,auc,loss,precision,recall,f1_score
0,0.7152658700942993,0.7944244146347046,0.5500338673591614,0.717391312122345,0.692307710647583,0.7046263477689078
1,0.7152658700942993,0.7866426110267639,0.5562330484390259,0.7068965435028076,0.7167832255363464,0.7118055557035897
2,0.7084047794342041,0.7884791493415833,0.5566412806510925,0.699999988079071,0.7097902297973633,0.7048611149326952
3,0.734133780002594,0.8063914179801941,0.5395733118057251,0.7266436219215393,0.7342657446861267,0.7304347995393893
4,0.7152658700942993,0.7982622981071472,0.5446460247039795,0.7325581312179565,0.6608391404151917,0.6948529261447952
5,0.7118353247642517,0.8016058206558228,0.53957200050354,0.7020547986030579,0.7167832255363464,0.7093425669236606
6,0.698113203048706,0.7921229004859924,0.5524277091026306,0.6883561611175537,0.7027971744537354,0.695501714557685
7,0.723842203617096,0.8025594353675842,0.5419257879257202,0.7208480834960938,0.7132866978645325,0.71704745721471
8,0.7375643253326416,0.796308159828186,0.5500606298446655,0.7333333492279053,0.7307692170143127,0.7320490377954876
9,0.7307032346725464,0.8048374056816101,0.5376206636428833,0.7216494679450989,0.7342657446861267,0.7279029429542353
10,0.7324185371398926,0.8144734501838684,0.5253349542617798,0.7304964661598206,0.7202796936035156,0.7253521051929593
11,0.7152658700942993,0.7827458381652832,0.5626365542411804,0.7238805890083313,0.6783216595649719,0.7003609970852664
12,0.744425356388092,0.8029007911682129,0.5379185676574707,0.7455196976661682,0.7272727489471436,0.7362831893423929
13,0.7307032346725464,0.803177535533905,0.5398641228675842,0.7311828136444092,0.7132866978645325,0.7221238946537502
14,0.744425356388092,0.8353524208068848,0.5029128789901733,0.7509157657623291,0.7167832255363464,0.7334526055822378
15,0.7101200819015503,0.8057262897491455,0.5368103981018066,0.7024221420288086,0.7097902297973633,0.7060869647539855
16,0.7512864470481873,0.8060912489891052,0.5427179932594299,0.7582417726516724,0.7237762212753296,0.7406082345447776
17,0.7495712041854858,0.8170692920684814,0.5269075036048889,0.7517985701560974,0.7307692170143127,0.7411347490747858
18,0.723842203617096,0.7926644682884216,0.5521806478500366,0.7090300917625427,0.7412587404251099,0.7247863199092723
19,0.7049742937088013,0.7854241728782654,0.5564673542976379,0.70652174949646,0.6818181872367859,0.693950185742724
20,0.723842203617096,0.8093935251235962,0.5337863564491272,0.7177700400352478,0.7202796936035156,0.7190226769225773
21,0.7118353247642517,0.7850650548934937,0.553895115852356,0.7185184955596924,0.6783216595649719,0.6978417058645905
22,0.723842203617096,0.8066268563270569,0.5378987193107605,0.7049180269241333,0.751748263835907,0.7275803747890056
23,0.723842203617096,0.7957841753959656,0.548810601234436,0.7208480834960938,0.7132866978645325,0.71704745721471
24,0.7530016899108887,0.8195945620536804,0.524978518486023,0.748251736164093,0.748251736164093,0.748251736164093
25,0.7324185371398926,0.8172929883003235,0.5276988744735718,0.7241379022598267,0.7342657446861267,0.7291666572169039
26,0.7169811129570007,0.8068682551383972,0.5356504321098328,0.7200000286102295,0.692307710647583,0.7058823762238827
27,0.7015437483787537,0.780962347984314,0.564940333366394,0.7089552283287048,0.6643356680870056,0.6859205816987424
28,0.7547169923782349,0.8139612674713135,0.5373872518539429,0.7474048733711243,0.7552447319030762,0.7513043509690649
29,0.7307032346725464,0.7911399006843567,0.5583935379981995,0.7380073666572571,0.6993007063865662,0.7181328519625924
30,0.744425356388092,0.8197004199028015,0.5256633758544922,0.7353951930999756,0.748251736164093,0.7417677604424797
31,0.734133780002594,0.821219265460968,0.5225909352302551,0.723549485206604,0.7412587404251099,0.7322970620378416
32,0.7375643253326416,0.8043252825737,0.5503506660461426,0.7490636706352234,0.6993007063865662,0.7233273095004399
33,0.728987991809845,0.7937769293785095,0.551359236240387,0.7318840622901917,0.7062937021255493,0.7188612098889267
34,0.744425356388092,0.8208601474761963,0.5244097113609314,0.7337883710861206,0.751748263835907,0.7426597513913521
35,0.734133780002594,0.7973617315292358,0.5525352358818054,0.7205387353897095,0.748251736164093,0.734133792627999
36,0.698113203048706,0.7810153365135193,0.5645776987075806,0.6992753744125366,0.6748251914978027,0.6868327546827147
37,0.728987991809845,0.8057733774185181,0.5461738705635071,0.7237762212753296,0.7237762212753296,0.7237762212753296
38,0.7186964154243469,0.8007345795631409,0.5414865612983704,0.7132866978645325,0.7132866978645325,0.7132866978645325
39,0.7186964154243469,0.7914752960205078,0.5553528070449829,0.7118055820465088,0.7167832255363464,0.7142857319697739
40,0.728987991809845,0.8200477957725525,0.5205971598625183,0.7352941036224365,0.6993007063865662,0.7168458751942928
41,0.7066895365715027,0.7824574112892151,0.5641178488731384,0.700348436832428,0.7027971744537354,0.701570668902643
42,0.7255574464797974,0.8087989091873169,0.5332008004188538,0.7350746393203735,0.688811182975769,0.7111913384589431
43,0.744425356388092,0.8134551048278809,0.5305138826370239,0.7403509020805359,0.7377622127532959,0.7390542905699589
44,0.7478559017181396,0.8088106513023376,0.5439022779464722,0.7340067625045776,0.7622377872467041,0.7478559444959837
45,0.7495712041854858,0.8254278898239136,0.519368052482605,0.7348993420600891,0.7657342553138733,0.7500000018762766
46,0.7581475377082825,0.8114360570907593,0.5361614227294922,0.7580071091651917,0.7447552680969238,0.751322759136696
